stop_id,date_visited
OPAL01,2024-10-17
SZAM01,2024-10-17
MARC04,2024-10-17
BRZA02,2024-10-17
OSWI02,2024-10-18
TRUS02,2024-10-19
JAI01,2024-10-19
JAI02,2024-10-19
STNZ01,2024-10-19
STKA01,2024-10-19
STKA02,2024-10-19
WRSZ02,2024-10-19
GROD01,2024-10-22
GROD02,2024-10-24
SZPI04,2024-10-24
PASI42,2024-10-26
PASI41,2024-10-26
COSRD01,2024-10-27
COSRD02,2024-10-27
GORC30,2024-10-27
SZPI03,2024-10-28
GOLE02,2024-11-05
LECH41,2024-11-13
WINI02,2024-11-14
RONJ74,2024-11-14
INFL01,2024-11-14
INFL02,2024-11-14
INFL03,2024-11-14
OSPO01,2024-11-14
# ZIII01,2024-11-14
ZIII41,2024-11-14
ZIII42,2024-11-14
# ZIII02,2024-11-14
OCZ72,2024-11-14
ORGN02,2024-11-14
ORGN01,2024-11-14
OSTY41,2024-11-14
OSTY42,2024-11-14
OSTY01,2024-11-14
OSTY02,2024-11-14
WIAT03,2024-11-14
WIAT04,2024-11-14
WIAT02,2024-11-14
BRKA01,2024-11-14
BRKA02,2024-11-14
ALSO01,2024-11-18
TULO01,2024-11-18
OSWI01,2024-11-20
STMI42,2024-11-22
RONJ41,2024-11-23
RONJ01,2024-11-23
RONJ73,2024-11-23
STMI02,2024-11-23
PAWI71,2024-11-25
PAWI02,2024-11-25
PAWI01,2024-11-25
WYSP01,2024-11-25
WYSP02,2024-11-25
LAKO41,2024-12-05
LAKO42,2024-12-05
AWF02,2024-12-12
